Timestamp,1. Spending: How long do you spend on this course per week?,2. Spending: How much money do you spend on this course except for the tuition and fees?,3. Spending: How long do you spend on discussing with classmates per week?,4. Spending: How long do you use in preparing the exam and quiz totally ?,5. Spending: How long do you use in studying totally without purpose of exams?,6. Outcome: How do you rate your learning outcome in this course by yourself? ,7. Outcome: How do you like this course?,8. Outcome: How much do you think you have learnt from this course?,9. Outcome: Do you get a chance to apply what you have learnt in this course? ,10. Outcome: How do you evaluate your performance in applying what you have learnt?
2018/06/29 3:04:17 PM MDT,OK (5~10 hrs),Little (<$50),Little (<1 hrs),OK (5~10 hrs),Little (< 1 hrs),Good,OK,OK,OK,OK
2018/06/29 3:06:54 PM MDT,Much (>10hrs),OK ($50~200),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),Good,Good,OK,Much,Good
2018/06/29 3:07:45 PM MDT,OK (5~10 hrs),Much (>$200),OK (1~2hrs),OK (5~10 hrs),OK (5~10 hrs),Good,Bad,Much,Much,Bad
2018/06/29 3:36:40 PM MDT,OK (5~10 hrs),OK ($50~200),Little (<1 hrs),Little (<1 hrs),Little (< 1 hrs),Good,Good,OK,OK,OK
2018/06/29 3:38:07 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),OK,Good,Much,Much,Good
2018/06/29 3:59:26 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Little (<1 hrs),Much (>10 hrs),OK,OK,Much,OK,Good
2018/06/29 4:06:13 PM MDT,OK (5~10 hrs),Little (<$50),Little (<1 hrs),Little (<1 hrs),OK (5~10 hrs),OK,Good,OK,OK,OK
2018/06/29 4:12:35 PM MDT,Much (>10hrs),OK ($50~200),OK (1~2hrs),Much (>10 hrs),OK (5~10 hrs),Good,Good,OK,OK,Good
2018/06/29 4:18:06 PM MDT,Much (>10hrs),OK ($50~200),OK (1~2hrs),OK (5~10 hrs),Much (>10 hrs),Good,OK,Much,Much,OK
2018/06/29 9:12:33 AM MDT,Much (>10hrs),Little (<$50),Little (<1 hrs),Little (<1 hrs),OK (5~10 hrs),Good,Good,OK,OK,OK
